	date	text	source	likes	shares	year	month	day
53	2022-06-28 18:53:42	"RT @lamprinaki5: Το μεγαλύτερο δώρο γενεθλίων είναι οι δικοί μας άνθρωποι..
Δυστυχώς μόνο μετά τα 50 συνειδητοποιούμε πραγματικά πόσο πολύτ…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	72	2022	6	28
54	2022-06-28 18:53:04	Ηλιθιο παζλ αναφώνησε η Ασημινα. Ηλιθια είσαι εσυ αγαπη μου όχι το παζλ .#survivorGR  	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	7	0	2022	6	28
55	2022-06-28 18:52:52	Αγάπη #Gitiselias  	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	17	2	2022	6	28
56	2022-06-28 18:52:48	"#sasmos Εξαιρετικός ο Αυγουστίδης! 
Και σαν ρόλος ο Αστέρης με την καλοσύνη, τη μεγαλοψυχία, την απέραντη αγάπη και τη συντριβή του, αλλά και όλη η ερμηνεία του ηθοποιού με την εκφραστικότητα σε κάθε ανεπαίσθητο βλέμμα, σε κάθε δισταγμό και τρέμουλο της φωνής...
Εξαιρετικός!  "	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	40	7	2022	6	28
57	2022-06-28 18:51:47	"Τι αγάπη μυθική είναι αυτή;;;;; 😭😍
#sasmos  "	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	8	0	2022	6	28
58	2022-06-28 18:51:26	"RT @tsokaraki_: Ωχ μωρέ Αστέρη.... 😭😭😭😭😭😭
Πόση αγάπη;;;; #sasmos"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2	2022	6	28
59	2022-06-28 18:50:52	"Η Βασιλικη κοιτάει τον Μαθιό που μιλάει στο γιο τους με τόση αγάπη και τα μάτια της λάμπουν. 

Αυτή είναι η οικογένεια που ονειρεύεται. Η οικογένεια που της αξίζει. Ένας σύντροφος που τη λατρεύει, και που αγαπα τον Νικηφορο όσο εκείνη. 

#sasmos  "	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	22	7	2022	6	28
60	2022-06-28 18:50:46	RT @aetos_black21: Να φεύγεις πάντα με χαμόγελο και όχι με ανάθεμα, και αν ο δρόμος τύχει και σε φέρει πάλι πίσω να βρίσκεις αγάπη και όχι…	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	0	7	2022	6	28
61	2022-06-28 18:50:35	RT @aparatisteme: οι φίλοι που με ξέρουν πραγματικά μου δείχνουν την αγάπη τους όταν κάθε φορά που σκάω μύτη μου λένε α καλώς και την σνομπ…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2	2022	6	28
62	2022-06-28 18:50:29	"Η αγάπη που λαμβάνουν οι Αντετοκούνμπο όπου πηγαίνουν στην Ελλάδα είναι μνημειώδης!

Η λαμπερή πρεμιέρα του Rise στην Ελλάδα γίνεται στα Σεπόλια.

O κόσμος τους αποθέωσε.  "	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	4	0	2022	6	28
